Batch Molecule-Batch ID,MSData - Proteomics activities: MSPlate,MSData - Proteomics activities: Concentration (uM),MSData - Proteomics activities: Cmpd Activity,MSData - Proteomics activities: Nr. Down,MSData - Proteomics activities: Cell line,MSData - Proteomics activities: Sample Condition
SRB-0000000-001,Pw00,1.0,Single (1),8,HEK293,WT
SRB-0000000-001,Pw01,0.1,Silent,7,HEK293,WT
SRB-0000000-001,Pw02,10.0,Low (2-10),25,HEK293,WT
SRB-0000000-001,Pw03,10.0,Medium (11-25),16,HEK293,WT
SRB-0000000-001,Pw10MLN,1.0,Low (2-10),13,HEK293,WT
SRB-0000000-001,Pw10WT,1.0,Low (2-10),35,HEK293,WT
SRB-0000000-001,Pw10KO,1.0,Low (2-10),37,HEK293,WT
SRB-0000000-001,Pw11KO,1.0,Low (2-10),13,HEK293,WT
SRB-0000000-001,Pw11WT,0.1,Low (2-10),7,HEK293,WT
SRB-0000001-001,Pw00,10.0,Medium (11-25),7,HEK293,WT
SRB-0000001-001,Pw01,0.1,Single (1),36,HEK293,WT
SRB-0000001-001,Pw02,0.1,Single (1),21,HEK293,WT
SRB-0000001-001,Pw03,1.0,Single (1),27,HEK293,WT
SRB-0000001-001,Pw10MLN,0.1,Low (2-10),15,HEK293,WT
SRB-0000001-001,Pw10WT,10.0,Low (2-10),25,HEK293,WT
SRB-0000001-001,Pw10KO,1.0,Low (2-10),5,HEK293,WT
SRB-0000001-001,Pw11KO,10.0,Low (2-10),2,HEK293,WT
SRB-0000001-001,Pw11WT,1.0,Low (2-10),31,HEK293,WT
SRB-0000002-001,Pw00,1.0,High (>25),4,HEK293,WT
SRB-0000002-001,Pw01,10.0,High (>25),4,HEK293,WT
SRB-0000002-001,Pw02,10.0,Silent,28,HEK293,WT
SRB-0000002-001,Pw03,1.0,Medium (11-25),15,HEK293,WT
SRB-0000002-001,Pw10MLN,1.0,Low (2-10),19,HEK293,WT
SRB-0000002-001,Pw10WT,1.0,Low (2-10),32,HEK293,WT
SRB-0000002-001,Pw10KO,1.0,Low (2-10),7,HEK293,WT
SRB-0000002-001,Pw11KO,0.1,Low (2-10),25,HEK293,WT
SRB-0000002-001,Pw11WT,1.0,Low (2-10),26,HEK293,WT
SRB-0000003-001,Pw00,10.0,Medium (11-25),22,HEK293,WT
SRB-0000003-001,Pw01,10.0,Silent,8,HEK293,WT
SRB-0000003-001,Pw02,1.0,Medium (11-25),14,HEK293,WT
SRB-0000003-001,Pw03,1.0,Low (2-10),22,HEK293,WT
SRB-0000003-001,Pw10MLN,0.1,Low (2-10),29,HEK293,WT
SRB-0000003-001,Pw10WT,10.0,Low (2-10),35,HEK293,WT
SRB-0000003-001,Pw10KO,1.0,Low (2-10),35,HEK293,WT
SRB-0000003-001,Pw11KO,10.0,Low (2-10),33,HEK293,WT
SRB-0000003-001,Pw11WT,0.1,Low (2-10),27,HEK293,WT
SRB-0000004-001,Pw00,0.1,High (>25),10,HEK293,WT
SRB-0000004-001,Pw01,0.1,Low (2-10),5,HEK293,WT
SRB-0000004-001,Pw02,1.0,Medium (11-25),17,HEK293,WT
SRB-0000004-001,Pw03,1.0,Medium (11-25),23,HEK293,WT
SRB-0000004-001,Pw10MLN,10.0,Low (2-10),21,HEK293,WT
SRB-0000004-001,Pw10WT,10.0,Low (2-10),8,HEK293,WT
SRB-0000004-001,Pw10KO,0.1,Low (2-10),25,HEK293,WT
SRB-0000004-001,Pw11KO,0.1,Low (2-10),1,HEK293,WT
SRB-0000004-001,Pw11WT,10.0,Low (2-10),36,HEK293,WT
SRB-0000005-001,Pw00,1.0,Single (1),34,HEK293,WT
SRB-0000005-001,Pw01,0.1,Medium (11-25),26,HEK293,WT
SRB-0000005-001,Pw02,0.1,Low (2-10),10,HEK293,WT
SRB-0000005-001,Pw03,0.1,Single (1),9,HEK293,WT
SRB-0000005-001,Pw10MLN,0.1,Low (2-10),10,HEK293,WT
SRB-0000005-001,Pw10WT,10.0,Low (2-10),32,HEK293,WT
SRB-0000005-001,Pw10KO,10.0,Low (2-10),3,HEK293,WT
SRB-0000005-001,Pw11KO,0.1,Low (2-10),37,HEK293,WT
SRB-0000005-001,Pw11WT,0.1,Low (2-10),6,HEK293,WT
SRB-0000006-001,Pw00,0.1,Low (2-10),7,HEK293,WT
SRB-0000006-001,Pw01,10.0,Silent,8,HEK293,WT
SRB-0000006-001,Pw02,1.0,High (>25),20,HEK293,WT
SRB-0000006-001,Pw03,10.0,Silent,20,HEK293,WT
SRB-0000006-001,Pw10MLN,1.0,Low (2-10),7,HEK293,WT
SRB-0000006-001,Pw10WT,0.1,Low (2-10),34,HEK293,WT
SRB-0000006-001,Pw10KO,1.0,Low (2-10),22,HEK293,WT
SRB-0000006-001,Pw11KO,10.0,Low (2-10),15,HEK293,WT
SRB-0000006-001,Pw11WT,1.0,Low (2-10),36,HEK293,WT
SRB-0000007-001,Pw00,0.1,Single (1),8,HEK293,WT
SRB-0000007-001,Pw01,10.0,Silent,1,HEK293,WT
SRB-0000007-001,Pw02,1.0,Silent,36,HEK293,WT
SRB-0000007-001,Pw03,0.1,Single (1),28,HEK293,WT
SRB-0000007-001,Pw10MLN,1.0,Low (2-10),26,HEK293,WT
SRB-0000007-001,Pw10WT,1.0,Low (2-10),29,HEK293,WT
SRB-0000007-001,Pw10KO,10.0,Low (2-10),15,HEK293,WT
SRB-0000007-001,Pw11KO,0.1,Low (2-10),7,HEK293,WT
SRB-0000007-001,Pw11WT,0.1,Low (2-10),3,HEK293,WT
SRB-0000008-001,Pw00,10.0,Silent,9,HEK293,WT
SRB-0000008-001,Pw01,1.0,Low (2-10),2,HEK293,WT
SRB-0000008-001,Pw02,0.1,Medium (11-25),6,HEK293,WT
SRB-0000008-001,Pw03,10.0,Silent,25,HEK293,WT
SRB-0000008-001,Pw10MLN,0.1,Low (2-10),32,HEK293,WT
SRB-0000008-001,Pw10WT,0.1,Low (2-10),3,HEK293,WT
SRB-0000008-001,Pw10KO,0.1,Low (2-10),7,HEK293,WT
SRB-0000008-001,Pw11KO,1.0,Low (2-10),16,HEK293,WT
SRB-0000008-001,Pw11WT,10.0,Low (2-10),20,HEK293,WT
SRB-0000009-001,Pw00,1.0,High (>25),23,HEK293,WT
SRB-0000009-001,Pw01,10.0,High (>25),22,HEK293,WT
SRB-0000009-001,Pw02,1.0,High (>25),25,HEK293,WT
SRB-0000009-001,Pw03,10.0,Medium (11-25),17,HEK293,WT
SRB-0000009-001,Pw10MLN,0.1,Low (2-10),39,HEK293,WT
SRB-0000009-001,Pw10WT,10.0,Low (2-10),5,HEK293,WT
SRB-0000009-001,Pw10KO,1.0,Low (2-10),13,HEK293,WT
SRB-0000009-001,Pw11KO,10.0,Low (2-10),25,HEK293,WT
SRB-0000009-001,Pw11WT,0.1,Low (2-10),29,HEK293,WT
SRB-0000010-001,Pw00,1.0,Silent,3,HEK293,WT
SRB-0000010-001,Pw01,0.1,Single (1),15,HEK293,WT
SRB-0000010-001,Pw02,0.1,Single (1),4,HEK293,WT
SRB-0000010-001,Pw03,1.0,Low (2-10),13,HEK293,WT
SRB-0000010-001,Pw10MLN,10.0,Low (2-10),8,HEK293,WT
SRB-0000010-001,Pw10WT,0.1,Low (2-10),20,HEK293,WT
SRB-0000010-001,Pw10KO,1.0,Low (2-10),20,HEK293,WT
SRB-0000010-001,Pw11KO,1.0,Low (2-10),37,HEK293,WT
SRB-0000010-001,Pw11WT,0.1,Low (2-10),28,HEK293,WT
SRB-0000011-001,Pw00,0.1,Low (2-10),9,HEK293,WT
SRB-0000011-001,Pw01,10.0,Single (1),8,HEK293,WT
SRB-0000011-001,Pw02,1.0,Medium (11-25),7,HEK293,WT
SRB-0000011-001,Pw03,0.1,Silent,15,HEK293,WT
SRB-0000011-001,Pw10MLN,0.1,Low (2-10),0,HEK293,WT
SRB-0000011-001,Pw10WT,10.0,Low (2-10),10,HEK293,WT
SRB-0000011-001,Pw10KO,1.0,Low (2-10),8,HEK293,WT
SRB-0000011-001,Pw11KO,0.1,Low (2-10),31,HEK293,WT
SRB-0000011-001,Pw11WT,1.0,Low (2-10),1,HEK293,WT
SRB-0000012-001,Pw00,0.1,Low (2-10),14,HEK293,WT
SRB-0000012-001,Pw01,1.0,Silent,10,HEK293,WT
SRB-0000012-001,Pw02,10.0,Single (1),27,HEK293,WT
SRB-0000012-001,Pw03,1.0,Silent,19,HEK293,WT
SRB-0000012-001,Pw10MLN,0.1,Low (2-10),15,HEK293,WT
SRB-0000012-001,Pw10WT,0.1,Low (2-10),34,HEK293,WT
SRB-0000012-001,Pw10KO,10.0,Low (2-10),7,HEK293,WT
SRB-0000012-001,Pw11KO,1.0,Low (2-10),3,HEK293,WT
SRB-0000012-001,Pw11WT,10.0,Low (2-10),17,HEK293,WT
SRB-0000013-001,Pw00,10.0,Single (1),6,HEK293,WT
SRB-0000013-001,Pw01,0.1,Low (2-10),34,HEK293,WT
SRB-0000013-001,Pw02,10.0,Low (2-10),29,HEK293,WT
SRB-0000013-001,Pw03,1.0,Single (1),4,HEK293,WT
SRB-0000013-001,Pw10MLN,1.0,Low (2-10),32,HEK293,WT
SRB-0000013-001,Pw10WT,1.0,Low (2-10),30,HEK293,WT
SRB-0000013-001,Pw10KO,10.0,Low (2-10),20,HEK293,WT
SRB-0000013-001,Pw11KO,1.0,Low (2-10),24,HEK293,WT
SRB-0000013-001,Pw11WT,0.1,Low (2-10),25,HEK293,WT
SRB-0000014-001,Pw00,10.0,Silent,23,HEK293,WT
SRB-0000014-001,Pw01,0.1,Medium (11-25),34,HEK293,WT
SRB-0000014-001,Pw02,1.0,Medium (11-25),25,HEK293,WT
SRB-0000014-001,Pw03,1.0,High (>25),17,HEK293,WT
SRB-0000014-001,Pw10MLN,1.0,Low (2-10),24,HEK293,WT
SRB-0000014-001,Pw10WT,1.0,Low (2-10),5,HEK293,WT
SRB-0000014-001,Pw10KO,0.1,Low (2-10),22,HEK293,WT
SRB-0000014-001,Pw11KO,0.1,Low (2-10),13,HEK293,WT
SRB-0000014-001,Pw11WT,1.0,Low (2-10),24,HEK293,WT
SRB-0000015-001,Pw00,0.1,Single (1),0,HEK293,WT
SRB-0000015-001,Pw01,1.0,Low (2-10),27,HEK293,WT
SRB-0000015-001,Pw02,10.0,Silent,34,HEK293,WT
SRB-0000015-001,Pw03,1.0,Medium (11-25),28,HEK293,WT
SRB-0000015-001,Pw10MLN,1.0,Low (2-10),28,HEK293,WT
SRB-0000015-001,Pw10WT,10.0,Low (2-10),22,HEK293,WT
SRB-0000015-001,Pw10KO,1.0,Low (2-10),27,HEK293,WT
SRB-0000015-001,Pw11KO,0.1,Low (2-10),38,HEK293,WT
SRB-0000015-001,Pw11WT,0.1,Low (2-10),39,HEK293,WT
SRB-0000016-001,Pw00,0.1,Low (2-10),16,HEK293,WT
SRB-0000016-001,Pw01,10.0,Single (1),15,HEK293,WT
SRB-0000016-001,Pw02,10.0,Single (1),9,HEK293,WT
SRB-0000016-001,Pw03,0.1,Silent,31,HEK293,WT
SRB-0000016-001,Pw10MLN,1.0,Low (2-10),2,HEK293,WT
SRB-0000016-001,Pw10WT,10.0,Low (2-10),19,HEK293,WT
SRB-0000016-001,Pw10KO,1.0,Low (2-10),20,HEK293,WT
SRB-0000016-001,Pw11KO,10.0,Low (2-10),26,HEK293,WT
SRB-0000016-001,Pw11WT,10.0,Low (2-10),0,HEK293,WT
SRB-0000017-001,Pw00,10.0,Low (2-10),25,HEK293,WT
SRB-0000017-001,Pw01,10.0,High (>25),34,HEK293,WT
SRB-0000017-001,Pw02,1.0,High (>25),26,HEK293,WT
SRB-0000017-001,Pw03,1.0,High (>25),5,HEK293,WT
SRB-0000017-001,Pw10MLN,0.1,Low (2-10),8,HEK293,WT
SRB-0000017-001,Pw10WT,0.1,Low (2-10),7,HEK293,WT
SRB-0000017-001,Pw10KO,0.1,Low (2-10),13,HEK293,WT
SRB-0000017-001,Pw11KO,1.0,Low (2-10),26,HEK293,WT
SRB-0000017-001,Pw11WT,1.0,Low (2-10),31,HEK293,WT
SRB-0000018-001,Pw00,0.1,Low (2-10),12,HEK293,WT
SRB-0000018-001,Pw01,1.0,Low (2-10),20,HEK293,WT
SRB-0000018-001,Pw02,1.0,Silent,11,HEK293,WT
SRB-0000018-001,Pw03,10.0,Silent,26,HEK293,WT
SRB-0000018-001,Pw10MLN,1.0,Low (2-10),25,HEK293,WT
SRB-0000018-001,Pw10WT,10.0,Low (2-10),25,HEK293,WT
SRB-0000018-001,Pw10KO,10.0,Low (2-10),28,HEK293,WT
SRB-0000018-001,Pw11KO,0.1,Low (2-10),15,HEK293,WT
SRB-0000018-001,Pw11WT,10.0,Low (2-10),6,HEK293,WT
SRB-0000019-001,Pw00,0.1,High (>25),4,HEK293,WT
SRB-0000019-001,Pw01,1.0,Single (1),17,HEK293,WT
SRB-0000019-001,Pw02,1.0,High (>25),35,HEK293,WT
SRB-0000019-001,Pw03,0.1,Silent,19,HEK293,WT
SRB-0000019-001,Pw10MLN,0.1,Low (2-10),29,HEK293,WT
SRB-0000019-001,Pw10WT,0.1,Low (2-10),19,HEK293,WT
SRB-0000019-001,Pw10KO,1.0,Low (2-10),26,HEK293,WT
SRB-0000019-001,Pw11KO,1.0,Low (2-10),21,HEK293,WT
SRB-0000019-001,Pw11WT,1.0,Low (2-10),12,HEK293,WT
SRB-0000020-001,Pw00,0.1,High (>25),23,HEK293,WT
SRB-0000020-001,Pw01,0.1,Low (2-10),17,HEK293,WT
SRB-0000020-001,Pw02,1.0,High (>25),0,HEK293,WT
SRB-0000020-001,Pw03,0.1,High (>25),6,HEK293,WT
SRB-0000020-001,Pw10MLN,1.0,Low (2-10),6,HEK293,WT
SRB-0000020-001,Pw10WT,1.0,Low (2-10),31,HEK293,WT
SRB-0000020-001,Pw10KO,1.0,Low (2-10),32,HEK293,WT
SRB-0000020-001,Pw11KO,1.0,Low (2-10),30,HEK293,WT
SRB-0000020-001,Pw11WT,0.1,Low (2-10),28,HEK293,WT
SRB-0000021-001,Pw00,1.0,High (>25),9,HEK293,WT
SRB-0000021-001,Pw01,0.1,Low (2-10),19,HEK293,WT
SRB-0000021-001,Pw02,1.0,Low (2-10),20,HEK293,WT
SRB-0000021-001,Pw03,0.1,High (>25),23,HEK293,WT
SRB-0000021-001,Pw10MLN,1.0,Low (2-10),2,HEK293,WT
SRB-0000021-001,Pw10WT,1.0,Low (2-10),23,HEK293,WT
SRB-0000021-001,Pw10KO,10.0,Low (2-10),19,HEK293,WT
SRB-0000021-001,Pw11KO,0.1,Low (2-10),27,HEK293,WT
SRB-0000021-001,Pw11WT,1.0,Low (2-10),18,HEK293,WT
SRB-0000022-001,Pw00,0.1,Single (1),25,HEK293,WT
SRB-0000022-001,Pw01,10.0,Single (1),2,HEK293,WT
SRB-0000022-001,Pw02,0.1,Low (2-10),9,HEK293,WT
SRB-0000022-001,Pw03,1.0,Silent,4,HEK293,WT
SRB-0000022-001,Pw10MLN,1.0,Low (2-10),25,HEK293,WT
SRB-0000022-001,Pw10WT,0.1,Low (2-10),0,HEK293,WT
SRB-0000022-001,Pw10KO,10.0,Low (2-10),9,HEK293,WT
SRB-0000022-001,Pw11KO,0.1,Low (2-10),38,HEK293,WT
SRB-0000022-001,Pw11WT,10.0,Low (2-10),1,HEK293,WT
SRB-0000023-001,Pw00,1.0,High (>25),25,HEK293,WT
SRB-0000023-001,Pw01,1.0,Single (1),39,HEK293,WT
SRB-0000023-001,Pw02,1.0,Medium (11-25),37,HEK293,WT
SRB-0000023-001,Pw03,1.0,High (>25),27,HEK293,WT
SRB-0000023-001,Pw10MLN,10.0,Low (2-10),38,HEK293,WT
SRB-0000023-001,Pw10WT,1.0,Low (2-10),17,HEK293,WT
SRB-0000023-001,Pw10KO,10.0,Low (2-10),11,HEK293,WT
SRB-0000023-001,Pw11KO,0.1,Low (2-10),9,HEK293,WT
SRB-0000023-001,Pw11WT,10.0,Low (2-10),16,HEK293,WT
SRB-0000024-001,Pw00,10.0,Low (2-10),17,HEK293,WT
SRB-0000024-001,Pw01,0.1,Single (1),17,HEK293,WT
SRB-0000024-001,Pw02,10.0,Medium (11-25),15,HEK293,WT
SRB-0000024-001,Pw03,0.1,Single (1),29,HEK293,WT
SRB-0000024-001,Pw10MLN,1.0,Low (2-10),0,HEK293,WT
SRB-0000024-001,Pw10WT,1.0,Low (2-10),14,HEK293,WT
SRB-0000024-001,Pw10KO,10.0,Low (2-10),12,HEK293,WT
SRB-0000024-001,Pw11KO,1.0,Low (2-10),8,HEK293,WT
SRB-0000024-001,Pw11WT,10.0,Low (2-10),23,HEK293,WT
SRB-0000025-001,Pw00,1.0,Silent,33,HEK293,WT
SRB-0000025-001,Pw01,0.1,Silent,12,HEK293,WT
SRB-0000025-001,Pw02,10.0,Single (1),36,HEK293,WT
SRB-0000025-001,Pw03,1.0,Single (1),21,HEK293,WT
SRB-0000025-001,Pw10MLN,0.1,Low (2-10),25,HEK293,WT
SRB-0000025-001,Pw10WT,0.1,Low (2-10),22,HEK293,WT
SRB-0000025-001,Pw10KO,1.0,Low (2-10),6,HEK293,WT
SRB-0000025-001,Pw11KO,0.1,Low (2-10),14,HEK293,WT
SRB-0000025-001,Pw11WT,10.0,Low (2-10),3,HEK293,WT
SRB-0000026-001,Pw00,10.0,High (>25),19,HEK293,WT
SRB-0000026-001,Pw01,10.0,High (>25),18,HEK293,WT
