id,uniquecontrast,srbnumber,source,cell_line,condition,time,concentration,controls,plate,nr_down,activity
2905,SRB-9001000.001.Pw10_vs_DMSO,SRB-9001000-001,synthetic,HEK293,WT,24,1.0,,Pw10,12,High (>25)
2906,SRB-9001000.001.Pw11_vs_DMSO,SRB-9001000-001,synthetic,HEK293,WT,24,1.0,,Pw11,5,Low (2-10)
2907,SRB-9001001.001.Pw10_vs_DMSO,SRB-9001001-001,synthetic,HEK293,WT,24,1.0,,Pw10,24,Silent
2908,SRB-9001001.001.Pw11_vs_DMSO,SRB-9001001-001,synthetic,HEK293,WT,24,1.0,,Pw11,23,High (>25)
2909,SRB-9001002.001.Pw10_vs_DMSO,SRB-9001002-001,synthetic,HEK293,WT,24,1.0,,Pw10,29,High (>25)
2910,SRB-9001002.001.Pw11_vs_DMSO,SRB-9001002-001,synthetic,HEK293,WT,24,1.0,,Pw11,6,Single (1)
2911,SRB-9001003.001.Pw10_vs_DMSO,SRB-9001003-001,synthetic,HEK293,WT,24,1.0,,Pw10,33,High (>25)
2912,SRB-9001003.001.Pw11_vs_DMSO,SRB-9001003-001,synthetic,HEK293,WT,24,1.0,,Pw11,38,Low (2-10)
2913,SRB-9001004.001.Pw10_vs_DMSO,SRB-9001004-001,synthetic,HEK293,WT,24,1.0,,Pw10,3,High (>25)
2914,SRB-9001004.001.Pw11_vs_DMSO,SRB-9001004-001,synthetic,HEK293,WT,24,1.0,,Pw11,26,Single (1)
2915,SRB-9001005.001.Pw10_vs_DMSO,SRB-9001005-001,synthetic,HEK293,WT,24,1.0,,Pw10,35,Medium (11-25)
2916,SRB-9001005.001.Pw11_vs_DMSO,SRB-9001005-001,synthetic,HEK293,WT,24,1.0,,Pw11,7,Low (2-10)
2917,SRB-9001006.001.Pw10_vs_DMSO,SRB-9001006-001,synthetic,HEK293,WT,24,1.0,,Pw10,7,High (>25)
2918,SRB-9001006.001.Pw11_vs_DMSO,SRB-9001006-001,synthetic,HEK293,WT,24,1.0,,Pw11,31,High (>25)
2919,SRB-9001007.001.Pw10_vs_DMSO,SRB-9001007-001,synthetic,HEK293,WT,24,1.0,,Pw10,13,High (>25)
2920,SRB-9001007.001.Pw11_vs_DMSO,SRB-9001007-001,synthetic,HEK293,WT,24,1.0,,Pw11,17,Medium (11-25)
2921,SRB-9001008.001.Pw10_vs_DMSO,SRB-9001008-001,synthetic,HEK293,WT,24,1.0,,Pw10,18,Medium (11-25)
2922,SRB-9001008.001.Pw11_vs_DMSO,SRB-9001008-001,synthetic,HEK293,WT,24,1.0,,Pw11,25,Silent
2923,SRB-9001009.001.Pw10_vs_DMSO,SRB-9001009-001,synthetic,HEK293,WT,24,1.0,,Pw10,27,Silent
2924,SRB-9001009.001.Pw11_vs_DMSO,SRB-9001009-001,synthetic,HEK293,WT,24,1.0,,Pw11,8,Single (1)
2925,SRB-9001010.001.Pw10_vs_DMSO,SRB-9001010-001,synthetic,HEK293,WT,24,1.0,,Pw10,29,Medium (11-25)
2926,SRB-9001010.001.Pw11_vs_DMSO,SRB-9001010-001,synthetic,HEK293,WT,24,1.0,,Pw11,33,Single (1)
2927,SRB-9001011.001.Pw10_vs_DMSO,SRB-9001011-001,synthetic,HEK293,WT,24,1.0,,Pw10,28,High (>25)
2928,SRB-9001011.001.Pw11_vs_DMSO,SRB-9001011-001,synthetic,HEK293,WT,24,1.0,,Pw11,12,Single (1)
