gene,R2,nullR2,n,pearson_r,pearson_p,spearman_r,spearman_p
G_00000,0.12216232135917016,0.046782230347996105,363,-0.7375922933632975,0.14840497679590603,-0.9307153559225518,0.78386538980071
G_00001,0.09675653155596155,0.03748122819299008,357,-0.8439878240777676,0.750360590922655,0.1986914585523638,0.642346939367203
G_00002,0.21966601781458964,0.0711741471274845,68,-0.9056197901430936,0.7749763033641888,0.10135756864566292,0.1075805069585789
G_00003,0.1915540545532884,0.0058711493565191675,310,0.3801260614521442,0.45661280510288926,0.5627598238489746,0.30647767333218734
G_00004,0.16477407752596124,0.0002374899550654175,360,-0.08677018781782975,0.07437269928146828,-0.5655952066858012,0.2908424328599247
G_00005,0.00048205874672011537,0.025009567776057964,427,0.7586913818259378,0.224116690510186,-0.8903288029988026,0.5365551627421197
G_00006,0.12093150227735591,0.08858504413561522,109,-0.9370183895109079,0.03268637449633971,0.2718484155770067,0.6518448962809922
G_00007,0.5547373266637949,0.09027555960039485,334,-0.3660429559344134,0.048880739109696925,-0.7828373120959884,0.0661402111660978
G_00008,0.4777303036391251,0.048744144948085634,31,-0.9558521276471246,0.4256361533180494,-0.42283080973988385,0.7425678277773538
G_00009,0.5936601844822507,0.014425604181979135,56,0.36830174188503384,0.8478439729247431,-0.10529653766624558,0.7489984923799925
G_00010,0.10687968805920602,0.06816485995529768,252,0.15227952077871376,0.8780278830640355,-0.6822766241557578,0.4970746884062943
G_00011,0.20104800118454788,0.07610770667559436,459,0.8871692602134562,0.6346685259544067,0.015217169449210699,0.3448131431475494
G_00012,0.4868993381394733,0.05033353047109578,161,-0.4312367052202073,0.8261247633182877,0.8131155998601296,0.4426981329047557
G_00013,0.11094581954284712,0.006714312057868499,357,-0.36564596682942385,0.08528864321672835,0.5094873854573345,0.8823884329059803
G_00014,0.31671272784275195,0.05471152501196819,244,0.007002979011025756,0.7984851084666388,-0.9630730092330801,0.6732117609112409
G_00015,0.4345235345794091,0.06879892670612146,427,-0.875836038174866,0.43504861163711417,0.30701561720373705,0.5531156758022306
G_00016,0.3492505044235372,0.030645871394816393,314,-0.26429651406651833,0.5933915385206562,-0.6449029144361222,0.1631310403319448
G_00017,0.2983113861969142,0.044987318745456785,62,0.6187534622823949,0.8233823822389783,-0.6182712367571219,0.8578385395028698
G_00018,0.2917898677169819,0.06073172944589255,91,-0.6888726917882952,0.23473512862153856,-0.24727569650649683,0.6557744011802992
G_00019,0.38486810772446645,0.08916685775386514,111,-0.7250481965821569,0.496222967110852,0.5426461626869599,0.7281512363283126
G_00020,0.3905936604845984,0.09473965239884122,74,-0.7936606474635954,0.05029599012015418,-0.7250866796567688,0.0891045892220963
G_00021,0.27376138427087465,0.013705105305678734,388,0.06321140024244554,0.7751136678324843,0.12673853955882453,0.4651275066351944
G_00022,0.32458949886765126,0.08950883609894028,494,0.04373333787813194,0.1391716453018752,-0.450328940418391,0.48286040836437427
G_00023,0.5929767371436703,0.02914660357916714,314,-0.5006762860056786,0.04043700866113098,0.09204489924978909,0.6720433917049015
G_00024,0.30085484326061923,0.06617907810853772,170,0.07878957856785851,0.3937503349225495,0.6013272721518479,0.7962952214072918
G_00025,0.5149404566083757,0.0019812234529809737,327,0.069227412634288,0.24837570835985356,0.37007214221209894,0.1944035895047499
G_00026,0.422502668358411,0.06173820658195015,23,-0.266114820758216,0.723060522009522,-0.7716465821744316,0.5106008310385354
G_00027,0.10040227025113935,0.05430873028855048,253,0.5794284639116276,0.4402796597161516,0.6082030129176637,0.07938658183675462
G_00028,0.2027831816549554,0.026096523529778995,85,-0.42821665448380286,0.6608060688733528,0.7801751420276999,0.5085083282020603
G_00029,0.14815765364814806,0.07401395042694128,65,0.5874809788980428,0.633283318985946,0.5484964431820973,0.43944280213325737
G_00030,0.5037163356768689,0.08733913049163787,265,-0.5207307472941927,0.48645980899877117,0.16916236928605644,0.8906054071552972
G_00031,0.10971367136815986,0.05995053962770785,78,0.8743245732576381,0.9473454367276113,0.4833185437309775,0.644681173224326
G_00032,0.05985085471331472,0.09933263476368731,223,0.8534800914693956,0.9506993179358313,0.8625185900837016,0.482282907588644
G_00033,0.3712898624908512,0.013759674896728292,114,-0.01937099855580393,0.9859831334477754,0.09505770036553662,0.7597964028011767
G_00034,0.4019552998011518,0.023169934141776996,94,0.7053612396719855,0.17576207641313257,0.516080428083469,0.742366391461457
G_00035,0.3176000141996694,0.061555082323411885,459,-0.5077117819815136,0.49763540238546233,-0.11769636884653156,0.21341076316682894
G_00036,0.08592150424619273,0.060286219304326906,289,0.9697576074312206,0.03815413995229566,-0.44437376993377,0.05855416184459483
G_00037,0.35051214695210364,0.05418814972069857,479,0.5651498313628616,0.582365407484976,0.7478590077288909,0.9901399175887834
G_00038,0.2719836493494033,0.031077783340163846,420,0.44459250198086386,0.7247331890348304,0.5854587175119681,0.8574002667251319
G_00039,0.45943213576966446,0.03767727407622902,334,0.5469959139198974,0.1987669263855799,0.58405504128931,0.8979029910571443
G_00040,0.5295709548910693,0.04188724734297006,469,-0.6527566812506203,0.5248863758992239,-0.3322213446319602,0.33702357362947566
G_00041,0.5581885870130349,0.01793535424136631,275,0.17759349744903874,0.04487680635567015,0.638221079008584,0.74046753271069
G_00042,0.48022730363047306,0.004847479932984356,348,0.6337595345654754,0.6352927002444754,-0.35327258084915947,0.9600079334018117
G_00043,0.3974025547623677,0.03325656674101351,468,-0.21803481692021087,0.6902032225269389,0.26820119866196634,0.7797817766742375
G_00044,0.3849641710851849,0.0075581107816825146,127,-0.02122824250132105,0.3097537951262124,-0.2503900619124402,0.2191893749843672
G_00045,0.26812169503856986,0.0901042978107739,184,-0.7051696295845602,0.3725775919576926,0.4810725304462802,0.8276419180351866
G_00046,0.5636654546587331,0.07934535226006645,422,-0.546105709749301,0.9004991919395835,0.8791838248523194,0.9903956455799209
G_00047,0.507448119078348,0.01357667313170241,462,-0.7259986339261786,0.6781843492382146,-0.21008252943072403,0.006259267416028114
G_00048,0.10891472078946086,0.003300294380043112,315,-0.9439094985045653,0.1132830502979949,0.4037636491922505,0.2737990673156683
G_00049,0.21414953442811735,0.007990165486958434,141,-0.02937814167705599,0.6938424129373151,-0.8910339383635393,0.8530849667476
G_00050,0.280816380703322,0.055958063151155035,67,-0.14991070874837553,0.4026041683346292,0.2435511124873746,0.13846255973719324
G_00051,0.13762066982594406,0.006128172625890049,97,-0.07036634360888927,0.04483316052460373,0.15870396243596696,0.6739940764178444
G_00052,0.5851039727707843,0.08535811803383742,319,0.28865326773433275,0.8999914890381573,-0.05568529527153854,0.7959000913647346
G_00053,0.25455506911661413,0.04930423693100627,200,0.017397884437784228,0.723269363425143,0.4064262880874565,0.12341476846862298
G_00054,0.5128917718803612,0.09558153472950975,197,0.5477879394599032,0.2556500439305346,-0.409819018450281,0.6615689400182945
G_00055,0.578300076249825,0.007990023530956692,196,0.6077986786919638,0.877639062921104,-0.26692950848341357,0.3724104547835543
G_00056,0.03226305151613076,0.03922559381816185,419,-0.5177146872782965,0.7657845381441258,0.8862872436313494,0.5797089146531466
G_00057,0.10895900424832054,0.08215474728486913,254,0.2929197477230887,0.6834067107044883,-0.7576400943288482,0.8158962406260138
G_00058,0.4023514868756383,0.0875814310350909,465,-0.2554804862443647,0.4703352516075332,0.4507258002844494,0.31777263962672053
G_00059,0.4657362881376371,0.0429021525542078,37,-0.7273172591727595,0.6010358883521222,-0.014026376462097145,0.7075334707114754
G_00060,0.10797425240292928,0.052235806309082346,91,0.06931399811376093,0.6582476915969824,-0.372497037377431,0.5169424748281948
G_00061,0.586870120509345,0.06810593520290387,181,-0.14345473862026736,0.5407943908197512,-0.5441385613105758,0.8429243724463329
G_00062,0.29040524821567604,0.06474759781330545,320,-0.2131110964848255,0.7507905898668584,-0.6634352986538568,0.6697950538540913
G_00063,0.5842712001321808,0.07724434566839344,263,0.8761101339345057,0.30379718233965736,0.3149794328005311,0.8728388527721572
G_00064,0.4899250696829939,0.09539589692556291,293,-0.31322150755378164,0.40081730561266204,0.12351823657993566,0.1399471647987639
G_00065,0.2601419054548203,0.006566897507081304,411,-0.9051963632955984,0.9264854424298264,-0.7985673422115882,0.07734730544811519
G_00066,0.41940225753313426,0.049741172799283,248,0.7745009472032978,0.29291175475326725,0.07896098590784706,0.17924804838936914
G_00067,0.5855436306664408,0.01774121519944304,196,-0.9126171830770213,0.575474128885857,-0.31060993625241196,0.45601403781355865
G_00068,0.3261198022711029,0.021994646492581173,57,-0.454788910780086,0.17197576753814503,-0.582949499199406,0.26384757057499064
G_00069,0.48493477862393036,0.028948216427688814,410,-0.18750112685833575,0.1933690902533881,0.5501068534092979,0.829808328432
G_00070,0.10867593976294938,0.03588038560258945,284,0.12024082609357944,0.7859348035087868,-0.16845884902498875,0.7979255982503776
G_00071,0.06128656358112745,0.06127406515832095,280,0.4742449035944043,0.18185357670345526,0.23857578071711782,0.7860016960854286
G_00072,0.5750826717965621,0.03377936829509487,92,0.25655911101140605,0.6717316257730267,0.8054645483788376,0.34707983177110324
G_00073,0.01418579999266638,0.044322195276217426,238,0.6695593186726259,0.2214651402887915,0.9584377150901999,0.581388070231963
G_00074,0.25745545343351567,0.025508191084370847,340,0.26694058516637664,0.8751533289162026,-0.03165687430089825,0.29047508841715763
G_00075,0.11074272143959107,0.012490507044711508,430,-0.9534596078631954,0.5531451829676619,-0.8117015197720532,0.048153666800605066
G_00076,0.27499598602880937,0.005298800835079654,426,0.8228451441631028,0.32236110226978243,0.17969530712217785,0.538398136429193
G_00077,0.16763319915010108,0.08903018555465413,95,-0.3456337577181017,0.3430088043857885,-0.389706997554353,0.9443309428488623
