Batch Molecule-Batch ID,MSData - Proteomics activities: MSPlate,MSData - Proteomics activities: Concentration (uM),MSData - Proteomics activities: Cmpd Activity,MSData - Proteomics activities: Nr. Down,MSData - Proteomics activities: Cell line,MSData - Proteomics activities: Sample Condition
SRB-0000000-001,Pw00,10.0,Low (2-10),2,HEK293,WT
SRB-0000000-001,Pw01,1.0,High (>25),23,HEK293,WT
SRB-0000000-001,Pw02,10.0,Low (2-10),33,HEK293,WT
SRB-0000000-001,Pw03,10.0,Medium (11-25),29,HEK293,WT
SRB-0000000-001,Pw10MLN,0.1,Low (2-10),26,HEK293,WT
SRB-0000000-001,Pw10WT,0.1,Low (2-10),1,HEK293,WT
SRB-0000000-001,Pw10KO,10.0,Low (2-10),34,HEK293,WT
SRB-0000000-001,Pw11KO,1.0,Low (2-10),7,HEK293,WT
SRB-0000000-001,Pw11WT,0.1,Low (2-10),23,HEK293,WT
SRB-0000001-001,Pw00,10.0,Silent,13,HEK293,WT
SRB-0000001-001,Pw01,0.1,High (>25),18,HEK293,WT
SRB-0000001-001,Pw02,0.1,Single (1),32,HEK293,WT
SRB-0000001-001,Pw03,0.1,Single (1),22,HEK293,WT
SRB-0000001-001,Pw10MLN,10.0,Low (2-10),26,HEK293,WT
SRB-0000001-001,Pw10WT,0.1,Low (2-10),4,HEK293,WT
SRB-0000001-001,Pw10KO,0.1,Low (2-10),3,HEK293,WT
SRB-0000001-001,Pw11KO,10.0,Low (2-10),1,HEK293,WT
SRB-0000001-001,Pw11WT,0.1,Low (2-10),21,HEK293,WT
SRB-0000002-001,Pw00,10.0,High (>25),36,HEK293,WT
SRB-0000002-001,Pw01,10.0,High (>25),33,HEK293,WT
SRB-0000002-001,Pw02,0.1,High (>25),36,HEK293,WT
SRB-0000002-001,Pw03,10.0,Single (1),36,HEK293,WT
SRB-0000002-001,Pw10MLN,10.0,Low (2-10),11,HEK293,WT
SRB-0000002-001,Pw10WT,0.1,Low (2-10),2,HEK293,WT
SRB-0000002-001,Pw10KO,1.0,Low (2-10),8,HEK293,WT
SRB-0000002-001,Pw11KO,0.1,Low (2-10),35,HEK293,WT
SRB-0000002-001,Pw11WT,1.0,Low (2-10),38,HEK293,WT
SRB-0000003-001,Pw00,10.0,Single (1),2,HEK293,WT
SRB-0000003-001,Pw01,1.0,Low (2-10),20,HEK293,WT
SRB-0000003-001,Pw02,10.0,Silent,2,HEK293,WT
SRB-0000003-001,Pw03,0.1,High (>25),21,HEK293,WT
SRB-0000003-001,Pw10MLN,10.0,Low (2-10),19,HEK293,WT
SRB-0000003-001,Pw10WT,10.0,Low (2-10),28,HEK293,WT
SRB-0000003-001,Pw10KO,0.1,Low (2-10),37,HEK293,WT
SRB-0000003-001,Pw11KO,10.0,Low (2-10),2,HEK293,WT
SRB-0000003-001,Pw11WT,0.1,Low (2-10),8,HEK293,WT
SRB-0000004-001,Pw00,1.0,Single (1),31,HEK293,WT
SRB-0000004-001,Pw01,1.0,Medium (11-25),30,HEK293,WT
SRB-0000004-001,Pw02,0.1,Single (1),11,HEK293,WT
SRB-0000004-001,Pw03,10.0,Low (2-10),22,HEK293,WT
SRB-0000004-001,Pw10MLN,1.0,Low (2-10),29,HEK293,WT
SRB-0000004-001,Pw10WT,0.1,Low (2-10),0,HEK293,WT
SRB-0000004-001,Pw10KO,1.0,Low (2-10),15,HEK293,WT
SRB-0000004-001,Pw11KO,10.0,Low (2-10),5,HEK293,WT
SRB-0000004-001,Pw11WT,10.0,Low (2-10),30,HEK293,WT
SRB-0000005-001,Pw00,1.0,Medium (11-25),37,HEK293,WT
SRB-0000005-001,Pw01,10.0,High (>25),22,HEK293,WT
SRB-0000005-001,Pw02,1.0,High (>25),29,HEK293,WT
SRB-0000005-001,Pw03,10.0,Single (1),25,HEK293,WT
SRB-0000005-001,Pw10MLN,1.0,Low (2-10),17,HEK293,WT
SRB-0000005-001,Pw10WT,0.1,Low (2-10),31,HEK293,WT
SRB-0000005-001,Pw10KO,10.0,Low (2-10),34,HEK293,WT
SRB-0000005-001,Pw11KO,0.1,Low (2-10),0,HEK293,WT
SRB-0000005-001,Pw11WT,1.0,Low (2-10),38,HEK293,WT
SRB-0000006-001,Pw00,10.0,Low (2-10),36,HEK293,WT
SRB-0000006-001,Pw01,0.1,Single (1),25,HEK293,WT
SRB-0000006-001,Pw02,1.0,Medium (11-25),1,HEK293,WT
SRB-0000006-001,Pw03,1.0,Single (1),26,HEK293,WT
SRB-0000006-001,Pw10MLN,0.1,Low (2-10),33,HEK293,WT
SRB-0000006-001,Pw10WT,0.1,Low (2-10),12,HEK293,WT
SRB-0000006-001,Pw10KO,10.0,Low (2-10),19,HEK293,WT
SRB-0000006-001,Pw11KO,1.0,Low (2-10),39,HEK293,WT
SRB-0000006-001,Pw11WT,10.0,Low (2-10),7,HEK293,WT
