id,uniquecontrast,srbnumber,source,cell_line,condition,time,concentration,controls,plate,nr_down,activity
1,SRB-9000000.001.Pw00_vs_DMSO,SRB-9000000-001,synthetic,HEK293,WT,24,1.0,,Pw00,25,Medium (11-25)
2,SRB-9000000.001.Pw01_vs_DMSO,SRB-9000000-001,synthetic,HEK293,WT,24,1.0,,Pw01,10,High (>25)
3,SRB-9000001.001.Pw00_vs_DMSO,SRB-9000001-001,synthetic,HEK293,WT,24,1.0,,Pw00,33,Low (2-10)
4,SRB-9000001.001.Pw01_vs_DMSO,SRB-9000001-001,synthetic,HEK293,WT,24,1.0,,Pw01,23,Silent
5,SRB-9000002.001.Pw00_vs_DMSO,SRB-9000002-001,synthetic,HEK293,WT,24,1.0,,Pw00,17,Medium (11-25)
6,SRB-9000002.001.Pw01_vs_DMSO,SRB-9000002-001,synthetic,HEK293,WT,24,1.0,,Pw01,24,Silent
7,SRB-9000003.001.Pw00_vs_DMSO,SRB-9000003-001,synthetic,HEK293,WT,24,1.0,,Pw00,22,Medium (11-25)
8,SRB-9000003.001.Pw01_vs_DMSO,SRB-9000003-001,synthetic,HEK293,WT,24,1.0,,Pw01,27,High (>25)
9,SRB-9000004.001.Pw00_vs_DMSO,SRB-9000004-001,synthetic,HEK293,WT,24,1.0,,Pw00,33,High (>25)
10,SRB-9000004.001.Pw01_vs_DMSO,SRB-9000004-001,synthetic,HEK293,WT,24,1.0,,Pw01,26,Low (2-10)
11,SRB-9000005.001.Pw00_vs_DMSO,SRB-9000005-001,synthetic,HEK293,WT,24,1.0,,Pw00,5,Silent
12,SRB-9000005.001.Pw01_vs_DMSO,SRB-9000005-001,synthetic,HEK293,WT,24,1.0,,Pw01,13,High (>25)
13,SRB-9000006.001.Pw00_vs_DMSO,SRB-9000006-001,synthetic,HEK293,WT,24,1.0,,Pw00,13,Low (2-10)
14,SRB-9000006.001.Pw01_vs_DMSO,SRB-9000006-001,synthetic,HEK293,WT,24,1.0,,Pw01,5,Silent
15,SRB-9000007.001.Pw00_vs_DMSO,SRB-9000007-001,synthetic,HEK293,WT,24,1.0,,Pw00,0,Medium (11-25)
16,SRB-9000007.001.Pw01_vs_DMSO,SRB-9000007-001,synthetic,HEK293,WT,24,1.0,,Pw01,2,Single (1)
17,SRB-9000008.001.Pw00_vs_DMSO,SRB-9000008-001,synthetic,HEK293,WT,24,1.0,,Pw00,31,High (>25)
18,SRB-9000008.001.Pw01_vs_DMSO,SRB-9000008-001,synthetic,HEK293,WT,24,1.0,,Pw01,29,Medium (11-25)
19,SRB-9000009.001.Pw00_vs_DMSO,SRB-9000009-001,synthetic,HEK293,WT,24,1.0,,Pw00,15,Single (1)
20,SRB-9000009.001.Pw01_vs_DMSO,SRB-9000009-001,synthetic,HEK293,WT,24,1.0,,Pw01,13,Low (2-10)
21,SRB-9000010.001.Pw00_vs_DMSO,SRB-9000010-001,synthetic,HEK293,WT,24,1.0,,Pw00,11,High (>25)
22,SRB-9000010.001.Pw01_vs_DMSO,SRB-9000010-001,synthetic,HEK293,WT,24,1.0,,Pw01,4,High (>25)
23,SRB-9000011.001.Pw00_vs_DMSO,SRB-9000011-001,synthetic,HEK293,WT,24,1.0,,Pw00,6,Low (2-10)
24,SRB-9000011.001.Pw01_vs_DMSO,SRB-9000011-001,synthetic,HEK293,WT,24,1.0,,Pw01,22,Silent
